"Id","Category"
1,1
2,0
3,1
4,1
5,0
6,1
7,0
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,1
166,0
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,0
220,0
221,1
222,0
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,1
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,1
269,1
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,0
280,1
281,0
282,1
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,1
367,1
368,0
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,1
403,0
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,0
414,0
415,0
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,1
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,1
448,1
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,0
467,1
468,0
469,1
470,0
471,1
472,1
473,1
474,0
475,1
476,0
477,1
478,1
479,0
480,1
481,0
482,1
483,0
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,0
510,1
511,0
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,0
538,1
539,1
540,0
541,0
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,1
568,1
569,1
570,0
571,1
572,1
573,1
574,0
575,0
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,0
584,0
585,0
586,0
587,1
588,1
589,0
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,0

